/home/rr568/.conda/envs/icu-benchmark/lib/python3.8/site-packages/lightgbm/engine.py:153: UserWarning: Found `early_stopping_rounds` in params. Will use it instead of argument
  _log_warning("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Warning] num_threads is set=10, n_jobs=-1 will be ignored. Current value: num_threads=10
[LightGBM] [Warning] early_stopping_round is set=200, early_stopping_rounds=200 will be ignored. Current value: early_stopping_round=200
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'colsample_bytree' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'subsample' was locked by 'sweep' (ignored update).
[1]	valid_0's auc: 0.792688
[146]	valid_0's auc: 0.811616
[147]	valid_0's auc: 0.811658
[148]	valid_0's auc: 0.811698
[149]	valid_0's auc: 0.811719
[150]	valid_0's auc: 0.811775
[151]	valid_0's auc: 0.811812
[152]	valid_0's auc: 0.811844
[153]	valid_0's auc: 0.811869
[154]	valid_0's auc: 0.812
[155]	valid_0's auc: 0.812096
[156]	valid_0's auc: 0.81212
[157]	valid_0's auc: 0.812171
[158]	valid_0's auc: 0.812224
[159]	valid_0's auc: 0.812251
[160]	valid_0's auc: 0.812289
[161]	valid_0's auc: 0.812357
[162]	valid_0's auc: 0.812438
[163]	valid_0's auc: 0.812471
[164]	valid_0's auc: 0.812516
[165]	valid_0's auc: 0.812551
[166]	valid_0's auc: 0.812661
[167]	valid_0's auc: 0.812697
[168]	valid_0's auc: 0.812764
[169]	valid_0's auc: 0.812802
[170]	valid_0's auc: 0.812846
[171]	valid_0's auc: 0.812877
[172]	valid_0's auc: 0.81292
[173]	valid_0's auc: 0.812949
[174]	valid_0's auc: 0.812961
[175]	valid_0's auc: 0.812998
[176]	valid_0's auc: 0.813049
[177]	valid_0's auc: 0.813186
[178]	valid_0's auc: 0.813213
[179]	valid_0's auc: 0.813256
[180]	valid_0's auc: 0.813282
[181]	valid_0's auc: 0.81335
[182]	valid_0's auc: 0.813391
[183]	valid_0's auc: 0.813393
[184]	valid_0's auc: 0.813422
[185]	valid_0's auc: 0.813451
[186]	valid_0's auc: 0.81349
[187]	valid_0's auc: 0.813561
[188]	valid_0's auc: 0.813596
[189]	valid_0's auc: 0.813667
[190]	valid_0's auc: 0.813734
[191]	valid_0's auc: 0.813827
[192]	valid_0's auc: 0.813854
[193]	valid_0's auc: 0.813903
[194]	valid_0's auc: 0.813957
[195]	valid_0's auc: 0.814042
[196]	valid_0's auc: 0.814062
[197]	valid_0's auc: 0.814112
[198]	valid_0's auc: 0.814179
[199]	valid_0's auc: 0.81422
[200]	valid_0's auc: 0.81426
[201]	valid_0's auc: 0.814298
[202]	valid_0's auc: 0.814379
[203]	valid_0's auc: 0.814435
[204]	valid_0's auc: 0.814461
[205]	valid_0's auc: 0.814535
[206]	valid_0's auc: 0.814601
[207]	valid_0's auc: 0.814652
[208]	valid_0's auc: 0.814683
[209]	valid_0's auc: 0.814751
[210]	valid_0's auc: 0.814789
[211]	valid_0's auc: 0.814843
[212]	valid_0's auc: 0.81489
[213]	valid_0's auc: 0.814929
[214]	valid_0's auc: 0.814993
[215]	valid_0's auc: 0.815065
[216]	valid_0's auc: 0.815115
[217]	valid_0's auc: 0.815133
[218]	valid_0's auc: 0.815169
[219]	valid_0's auc: 0.81521
[220]	valid_0's auc: 0.815252
[221]	valid_0's auc: 0.815264
[222]	valid_0's auc: 0.815319
[223]	valid_0's auc: 0.815364
[224]	valid_0's auc: 0.815399
[225]	valid_0's auc: 0.815439
[226]	valid_0's auc: 0.815462
[227]	valid_0's auc: 0.815519
[228]	valid_0's auc: 0.815576
[229]	valid_0's auc: 0.81563
[230]	valid_0's auc: 0.815672
[231]	valid_0's auc: 0.815695
[232]	valid_0's auc: 0.815745
[233]	valid_0's auc: 0.815788
[234]	valid_0's auc: 0.815846
[235]	valid_0's auc: 0.8159
[236]	valid_0's auc: 0.815952
[237]	valid_0's auc: 0.815998
[238]	valid_0's auc: 0.816038
[239]	valid_0's auc: 0.816079
[240]	valid_0's auc: 0.816134
[241]	valid_0's auc: 0.816214
[242]	valid_0's auc: 0.816266
[243]	valid_0's auc: 0.816315
[244]	valid_0's auc: 0.816362
[245]	valid_0's auc: 0.816415
[246]	valid_0's auc: 0.816478
[247]	valid_0's auc: 0.816521
[248]	valid_0's auc: 0.816559
[249]	valid_0's auc: 0.816604
[250]	valid_0's auc: 0.81664
[251]	valid_0's auc: 0.816686
[252]	valid_0's auc: 0.816738
[253]	valid_0's auc: 0.816802
[254]	valid_0's auc: 0.816839
[255]	valid_0's auc: 0.816916
[256]	valid_0's auc: 0.816981
[257]	valid_0's auc: 0.817035
[258]	valid_0's auc: 0.817075
[259]	valid_0's auc: 0.817121
[260]	valid_0's auc: 0.817172
[261]	valid_0's auc: 0.817238
[262]	valid_0's auc: 0.817305
[263]	valid_0's auc: 0.817345
[264]	valid_0's auc: 0.817386
[265]	valid_0's auc: 0.817425
[266]	valid_0's auc: 0.81747
[267]	valid_0's auc: 0.817507
[268]	valid_0's auc: 0.817555
[269]	valid_0's auc: 0.817621
[270]	valid_0's auc: 0.817683
[271]	valid_0's auc: 0.817705
[272]	valid_0's auc: 0.817731
[273]	valid_0's auc: 0.817782
[274]	valid_0's auc: 0.817822
[275]	valid_0's auc: 0.817876
[276]	valid_0's auc: 0.817935
[277]	valid_0's auc: 0.817995
[278]	valid_0's auc: 0.818051
[279]	valid_0's auc: 0.818101
[280]	valid_0's auc: 0.818155
[281]	valid_0's auc: 0.818216
[282]	valid_0's auc: 0.818253
[283]	valid_0's auc: 0.81832
[284]	valid_0's auc: 0.818363
[285]	valid_0's auc: 0.818399
[286]	valid_0's auc: 0.818448
[287]	valid_0's auc: 0.81851
[288]	valid_0's auc: 0.818569
[289]	valid_0's auc: 0.818621
[290]	valid_0's auc: 0.818659
[291]	valid_0's auc: 0.818708
[292]	valid_0's auc: 0.818769
[293]	valid_0's auc: 0.818809
[294]	valid_0's auc: 0.818839
[295]	valid_0's auc: 0.818875
[296]	valid_0's auc: 0.818928
[297]	valid_0's auc: 0.818976
[298]	valid_0's auc: 0.819028
[299]	valid_0's auc: 0.819077
[300]	valid_0's auc: 0.819134
[301]	valid_0's auc: 0.819189
[302]	valid_0's auc: 0.819225
[303]	valid_0's auc: 0.819277
[304]	valid_0's auc: 0.819319
[305]	valid_0's auc: 0.819367
[306]	valid_0's auc: 0.819401
[307]	valid_0's auc: 0.819475
[308]	valid_0's auc: 0.819504
[309]	valid_0's auc: 0.819563
[310]	valid_0's auc: 0.819603
[311]	valid_0's auc: 0.819633
[312]	valid_0's auc: 0.819673
[313]	valid_0's auc: 0.819729
[314]	valid_0's auc: 0.819806
[315]	valid_0's auc: 0.819856
[316]	valid_0's auc: 0.819909
[317]	valid_0's auc: 0.819962
[318]	valid_0's auc: 0.820034
[319]	valid_0's auc: 0.820077
[320]	valid_0's auc: 0.820104
[321]	valid_0's auc: 0.820177
[322]	valid_0's auc: 0.820214
[323]	valid_0's auc: 0.820259
[324]	valid_0's auc: 0.82031
[325]	valid_0's auc: 0.820371
[326]	valid_0's auc: 0.820408
[327]	valid_0's auc: 0.820435
[328]	valid_0's auc: 0.820465
[329]	valid_0's auc: 0.820518
[330]	valid_0's auc: 0.820548
[331]	valid_0's auc: 0.820591
[332]	valid_0's auc: 0.820638
[333]	valid_0's auc: 0.82068
[334]	valid_0's auc: 0.820712
[335]	valid_0's auc: 0.820763
[336]	valid_0's auc: 0.820794
[337]	valid_0's auc: 0.820846
[338]	valid_0's auc: 0.820892
[339]	valid_0's auc: 0.820936
[340]	valid_0's auc: 0.820972
[341]	valid_0's auc: 0.821032
[342]	valid_0's auc: 0.821069
[343]	valid_0's auc: 0.821104
[344]	valid_0's auc: 0.821149
[345]	valid_0's auc: 0.821199
[346]	valid_0's auc: 0.821247
[347]	valid_0's auc: 0.821286
[348]	valid_0's auc: 0.821335
[349]	valid_0's auc: 0.821363
[350]	valid_0's auc: 0.821417
[351]	valid_0's auc: 0.821452
[352]	valid_0's auc: 0.821508
[353]	valid_0's auc: 0.821549
[354]	valid_0's auc: 0.82158
[355]	valid_0's auc: 0.821626
[356]	valid_0's auc: 0.821682
[357]	valid_0's auc: 0.821717
[358]	valid_0's auc: 0.821746
[359]	valid_0's auc: 0.821779
[360]	valid_0's auc: 0.821823
[361]	valid_0's auc: 0.821861
[362]	valid_0's auc: 0.821893
[363]	valid_0's auc: 0.821934
[364]	valid_0's auc: 0.821975
[365]	valid_0's auc: 0.822021
[366]	valid_0's auc: 0.822048
[367]	valid_0's auc: 0.822093
[368]	valid_0's auc: 0.822136
[369]	valid_0's auc: 0.822184
[370]	valid_0's auc: 0.822215
[371]	valid_0's auc: 0.82225
[372]	valid_0's auc: 0.822306
[373]	valid_0's auc: 0.822344
[374]	valid_0's auc: 0.822373
[375]	valid_0's auc: 0.822416
[376]	valid_0's auc: 0.822454
[377]	valid_0's auc: 0.822492
[378]	valid_0's auc: 0.822528
[379]	valid_0's auc: 0.82255
[380]	valid_0's auc: 0.822586
[381]	valid_0's auc: 0.822627
[382]	valid_0's auc: 0.822657
[383]	valid_0's auc: 0.822708
[384]	valid_0's auc: 0.822747
[385]	valid_0's auc: 0.822789
[386]	valid_0's auc: 0.822821
[387]	valid_0's auc: 0.822854
[388]	valid_0's auc: 0.822896
[389]	valid_0's auc: 0.822922
[390]	valid_0's auc: 0.82295
[391]	valid_0's auc: 0.82298
[392]	valid_0's auc: 0.823008
[393]	valid_0's auc: 0.823057
[394]	valid_0's auc: 0.823091
[395]	valid_0's auc: 0.823131
[396]	valid_0's auc: 0.82318
[397]	valid_0's auc: 0.823208
[398]	valid_0's auc: 0.823253
[399]	valid_0's auc: 0.823274
[400]	valid_0's auc: 0.823296
[401]	valid_0's auc: 0.823354
[402]	valid_0's auc: 0.823389
[403]	valid_0's auc: 0.823437
[404]	valid_0's auc: 0.823476
[405]	valid_0's auc: 0.823498
[406]	valid_0's auc: 0.823533
[407]	valid_0's auc: 0.823572
[408]	valid_0's auc: 0.823602
[409]	valid_0's auc: 0.823645
[410]	valid_0's auc: 0.823675
[411]	valid_0's auc: 0.823707
[412]	valid_0's auc: 0.823737
[413]	valid_0's auc: 0.823783
[414]	valid_0's auc: 0.823816
[415]	valid_0's auc: 0.823854
[416]	valid_0's auc: 0.823897
[417]	valid_0's auc: 0.823927
[418]	valid_0's auc: 0.823972
[419]	valid_0's auc: 0.824008
[420]	valid_0's auc: 0.82405
[421]	valid_0's auc: 0.824069
[422]	valid_0's auc: 0.824106
[423]	valid_0's auc: 0.824161
[424]	valid_0's auc: 0.824191
[425]	valid_0's auc: 0.824236
[426]	valid_0's auc: 0.824275
[427]	valid_0's auc: 0.824302
[428]	valid_0's auc: 0.824333
[429]	valid_0's auc: 0.824369
[430]	valid_0's auc: 0.824395
[431]	valid_0's auc: 0.824434
[432]	valid_0's auc: 0.824469
[433]	valid_0's auc: 0.824494
[434]	valid_0's auc: 0.824512
[435]	valid_0's auc: 0.824545
[436]	valid_0's auc: 0.824581
[437]	valid_0's auc: 0.82461
[438]	valid_0's auc: 0.824649
[439]	valid_0's auc: 0.824674
[440]	valid_0's auc: 0.824706
[441]	valid_0's auc: 0.824749
[442]	valid_0's auc: 0.824787
[443]	valid_0's auc: 0.824823
[444]	valid_0's auc: 0.82485
[445]	valid_0's auc: 0.824887
[446]	valid_0's auc: 0.82491
[447]	valid_0's auc: 0.824942
[448]	valid_0's auc: 0.824977
[449]	valid_0's auc: 0.825013
[450]	valid_0's auc: 0.825038
[451]	valid_0's auc: 0.825071
[452]	valid_0's auc: 0.82509
[453]	valid_0's auc: 0.825127
[454]	valid_0's auc: 0.825156
[455]	valid_0's auc: 0.825184
[456]	valid_0's auc: 0.825203
[457]	valid_0's auc: 0.825241
[458]	valid_0's auc: 0.825274
[459]	valid_0's auc: 0.825312
[460]	valid_0's auc: 0.825334
[461]	valid_0's auc: 0.825371
[462]	valid_0's auc: 0.825402
[463]	valid_0's auc: 0.825433
[464]	valid_0's auc: 0.825469
[465]	valid_0's auc: 0.825488
[466]	valid_0's auc: 0.825515
[467]	valid_0's auc: 0.825547
[468]	valid_0's auc: 0.825572
[469]	valid_0's auc: 0.825604
[470]	valid_0's auc: 0.825644
[34m[1mwandb[39m[22m: Ctrl + C detected. Stopping sweep.
[471]	valid_0's auc: 0.825669
[472]	valid_0's auc: 0.825697
